x,peak-x,trough-x,phases-norm,phases-shift,phases-est
0,0.041083835,0.000880037,0,0,0
0.034482759,0.080824456,0.041963872,0.749734088,0.749734088,0.827586207
0.068965517,0.115794349,0.076933766,1.637005603,1.637005603,1.655172414
0.103448276,0.155488652,0.115423807,2.493253637,2.493253637,2.482758621
0.137931034,0.184946735,0.145159796,-3.010208218,3.272977089,3.310344828
0.172413793,0.218249189,0.18012969,-2.058821513,4.224363795,4.137931034
0.206896552,0.246086151,0.205465493,-1.109503039,5.173682268,4.965517241
0.24137931,0.274664196,0.236081519,-0.142604594,6.140580713,5.793103448
0.275862069,0.30245484,0.263177397,0.715711673,6.99889698,6.620689655
0.310344828,0.327836962,0.290319592,1.39098941,7.674174717,7.448275862
0.344827586,0.353172765,0.313895322,2.102461207,8.385646514,8.275862069
0.379310345,0.374432608,0.335757295,2.722930797,9.006116105,9.096551724
0.413793103,0.395646132,0.356739231,2.030073088,8.313258395,8.268965517
0.448275862,0.416905975,0.377721167,1.42718347,7.710368777,7.44137931
0.482758621,0.438165818,0.39958314,0.532673143,6.815858451,6.613793103
0.517241379,0.463501621,0.424965262,-0.30599492,5.977190388,5.786206897
0.551724138,0.489671144,0.451181102,-1.018500833,5.264684475,4.95862069
0.586206897,0.520750347,0.480917091,-2.095015572,4.188169735,4.131034483
0.620689655,0.551829551,0.512413154,-2.898523692,3.384661616,3.303448276
0.655172414,0.586984715,0.549096804,2.490151289,2.490151289,2.475862069
0.689655172,0.619685039,0.57971283,1.596675079,1.596675079,1.648275862
0.724137931,0.658916165,0.619082909,0.664936578,0.664936578,0.820689655
0.75862069,0.691616489,0.654052802,-0.118923338,-0.118923338,-0.006896552
0.793103448,0.731681334,0.692496526,-0.90381737,-0.90381737,-0.834482759
0.827586207,0.769245021,0.730106531,-1.561515136,-1.561515136,-1.662068966
0.862068966,0.810977304,0.772070403,-2.363989139,-2.363989139,-2.489655172
0.896551724,0.849374711,0.811440482,-2.912070611,-2.912070611,-3.317241379
0.931034483,0.892728115,0.853404354,2.769259194,-3.513926114,-4.144827586
0.965517241,0.932746642,0.892774433,2.344340936,-3.938844371,-4.972413793
1,0.976887448,0.938212135,1.852101727,-4.43108358,-5.8